Наименование,Регистрационный номер,Год_регистрации,Статус,Регион регистрации,Код ОКАТО,Наименование ОКАТО,Код ОКТМО,Организационно-правовая форма,Код ОКОПФ,"2019, Среднесписочная численность работников","2019, Дебиторская задолженность, RUB","2019, Денежные средства и денежные эквиваленты, RUB","2019, Капитал и резервы, RUB","2019, Заёмные средства (краткосрочные), RUB","2019, Кредиторская задолженность, RUB","2019, Пассивы всего, RUB","2019, Выручка, RUB","2019, Себестоимость продаж, RUB","2019, Валовая прибыль (убыток), RUB","2019, Коммерческие расходы, RUB","2019, Управленческие расходы, RUB","2019, Прибыль (убыток) от продажи, RUB","2019, Доходы от участия в других организациях, RUB","2019, Проценты к получению, RUB","2019, Проценты к уплате, RUB","2019, Прочие доходы, RUB","2019, Прочие расходы, RUB","2019, Прибыль (убыток) до налогообложения , RUB","2019, Текущий налог на прибыль, RUB","2019, Чистая прибыль (убыток), RUB","2019, Прибыль от приносящей доход деятельности, RUB","2019, Всего поступило средств, RUB","2019, Расходы на целевые мероприятия, RUB","2019, Расходы на содержание аппарата управления, RUB","2019, Приобретение основных средств, инвентаря и иного имущества, RUB","2019, Всего использовано средств, RUB","2019, Остаток средств на конец отчетного года, RUB"
"12, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001140,2015,Действующая,Москва,45277598000,"Москва, Северный, Хорошевский",45348000000.0,Благотворительные фонды,70401,,769000.0,4947000.0,113716000.0,,,113716000.0,,,,,,,,,,209000.0,473000.0,-264000.0,,-265000.0,,169240000.0,53650000.0,1915000.0,,55565000.0,113857000.0
"1ПОМОГАЕТ, БФ",1167700056347,2016,Действующая,Москва,45263552000,"Москва, Восточный, Богородское",45301000000.0,Благотворительные фонды,70401,,122000.0,605000.0,1115000.0,,24000.0,1139000.0,,,,,,,,,,,,,,,,3923000.0,3119000.0,877000.0,,4027000.0,1105000.0
"3Д, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700012080,2019,Действующая,Москва,45286575000,"Москва, Центральный, Пресненский",45380000000.0,Благотворительные фонды,70401,,,39000.0,39000.0,,,39000.0,,,,,,,,,,,,,,,,252000.0,205000.0,8000.0,,213000.0,39000.0
"5541 ДОБРО, БФ",1147799011612,2014,Действующая,Москва,45277589000,"Москва, Северный, Сокол",45345000000.0,Благотворительные фонды,70401,,63000.0,4078000.0,,,34000.0,4181000.0,,,,,,,,,,,,,,,,80983000.0,44849000.0,52261000.0,,97257000.0,4078000.0
"7 ЖИЗНЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001689,2015,Действующая,Москва,45286585000,"Москва, Центральный, Тверской",45382000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"770, БФ",1197700007042,2019,Действующая,Москва,45280569000,"Москва, Северо-Восточный, Марьина роща",45357000000.0,Благотворительные фонды,70401,,,4028000.0,,,,4028000.0,,,,,,,,,,,,,,,,4036000.0,,,,8000.0,4028000.0
"XXI ВЕК БЕЗ РАКА, БФ",1097799042857,2009,Действующая,Москва,45268584000,"Москва, Западный, Раменки",45325000000.0,Благотворительные фонды,70401,,38000.0,5000.0,19000.0,,24000.0,43000.0,,,,,,,,,,,19000.0,-19000.0,,-19000.0,,,,,,,
"А.УСМАНОВА, ФОНД",1027729004269,2002,Действующая,Москва,45268592000,"Москва, Западный, Тропарево-Никулино",45327000000.0,Благотворительные фонды,70401,,2761000.0,18922000.0,21696000.0,,,21696000.0,,,,,,,,,,,,,,,,33000000.0,14169000.0,1859000.0,,16162000.0,21696000.0
"А.Ф. РОМАНОВОЙ, БФ ИМ.",1117799005235,2011,Действующая,Москва,45286555000,"Москва, Центральный, Басманный",45375000000.0,Благотворительные фонды,70401,,1000.0,901000.0,902000.0,,,902000.0,,,,,,,,,,,,,,,,1705000.0,1452000.0,,,1492000.0,902000.0
"АБС ЭЛЕКТРО, БФ",1037739325557,2002,Действующая,Москва,45286580000,"Москва, Центральный, Таганский",45381000000.0,Благотворительные фонды,70401,,38000.0,1000.0,,,14000.0,39000.0,,,,,,,,,,,15000.0,-15000.0,,-5000.0,,,,,,,
"АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД, МОФ",1037746023061,2003,Действующая,Москва,45286570000,"Москва, Центральный, Мещанский",45379000000.0,Общественные фонды,70403,,346000.0,5000.0,-14000.0,1000.0,72000.0,350000.0,,,,,,,,,,14000.0,59000.0,-45000.0,,-45000.0,,,,,,,
"АВРОРА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799012805,2009,Действующая,Москва,45286560000,"Москва, Центральный, Замоскворечье",45376000000.0,Благотворительные фонды,70401,,,,,,57000.0,,,31000.0,,,,-31000.0,,,,,,-31000.0,,-31000.0,,,,,,,
"АВРОРА, ФОНД",1057748151845,2005,Действующая,Москва,45286580000,"Москва, Центральный, Таганский",45381000000.0,Благотворительные фонды,70401,,4000.0,9000.0,19000.0,,8000.0,26000.0,,,,,,,,,,,,,,,,,,,,,
"АВТОМОРЕ, БФ",1177700021950,2017,Действующая,Москва,45283587000,"Москва, Северо-Западный, Щукино",45372000000.0,Благотворительные фонды,70401,,,10000.0,10000.0,,,10000.0,,,,,,,,,,,,,,,,,,,,,
"АДВОКАТСКАЯ ИНИЦИАТИВА, ФОНД",1037739896226,2003,Действующая,Москва,45286590000,"Москва, Центральный, Хамовники",45383000000.0,Общественные фонды,70403,,1141000.0,764000.0,930000.0,,5035000.0,6674000.0,10242000.0,9389000.0,853000.0,1401000.0,,-548000.0,,,,1000.0,21784000.0,-22331000.0,-71000.0,-22289000.0,,41512000.0,-9907000.0,-5241000.0,,-42590000.0,854000.0
"АДЕЛИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799011122,2009,Действующая,Москва,45277586000,"Москва, Северный, Савеловский",45344000000.0,Благотворительные фонды,70401,,397000.0,10471000.0,,,699000.0,11117000.0,,,,,,,,,,,,,,,,78532000.0,62648000.0,8660000.0,60000.0,71368000.0,10471000.0
